"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 18:25:34 GMT 2025","Thu Apr 17 18:25:36 GMT 2025","1567","","SeleniumOOPTest.Tests.HomeTest","","SeleniumOOPTest.Tests.HomeTest","","UserShouldBeAbleToLogout",""
"passed","Thu Apr 17 18:25:36 GMT 2025","Thu Apr 17 18:25:37 GMT 2025","957","","SeleniumOOPTest.Tests.LoginTest","","SeleniumOOPTest.Tests.LoginTest","","SuccessfulLoginTest",""
"passed","Thu Apr 17 18:25:33 GMT 2025","Thu Apr 17 18:25:34 GMT 2025","1003","","SeleniumOOPTest.Tests.HomeTest","","SeleniumOOPTest.Tests.HomeTest","","HomePage_ShouldDisplayInventory_WhenUserIsLoggedIn",""
"passed","Thu Apr 17 18:25:30 GMT 2025","Thu Apr 17 18:25:33 GMT 2025","2529","","SeleniumOOPTest.Tests.CheckoutTest","","SeleniumOOPTest.Tests.CheckoutTest","","UserCanCompleteCheckoutProcess",""
"passed","Thu Apr 17 18:25:37 GMT 2025","Thu Apr 17 18:25:38 GMT 2025","1599","","SeleniumOOPTest.Tests.LogoutTest","","SeleniumOOPTest.Tests.LogoutTest","","UserShouldBeAbleToLogout",""
